Company_name;Link 1;Link 2;Link 3;Link 4;Link 5
EUROITALIA S.R.L. **;https://www.euroitalia.it;https://www.euroitalia.it/en/;https://www.casadicuraeuroitalia.it;https://www.euroitalia.it/en/brands/;https://www.ilsole24ore.com/art/euroitalia-si-avvicina-700-milioni-ricavi-e-lancia-nuovi-progetti-AEpkPvGD
ADIDAS ITALY S.P.A.;https://www.adidas.it;https://www.adidas.it/italia;https://www.ufficiocamerale.it/9588/adidas-italy-spa;https://www.paginebianche.it/monza/adidas-italy.3351756;https://it.kompass.com/c/adidas-italy-s-p-a/it0334800/
FOMAS HOP S.P.A.;https://www.fomasgroup.com;https://primalecco.it/economia/fomas-group-un-nuovo-e-ambizioso-piano-quinquennale/;https://it.linkedin.com/company/fomas-group;https://www.linkedin.com/company/fomas-group;https://opencorpdata.com/lei/815600F814DEF053AF41
PATHEON ITALIA S.P.A.;https://www.patheon.com/us/en/site-locations/monza-it.html;https://www.ufficiocamerale.it/4950/patheon-italia-spa;https://www.thermofisher.com/it/en/home/brands/patheon.html;https://it.wikipedia.org/wiki/Patheon;https://www.industrychemistry.com/aziende/patheon-italia-spa-thermo-fisher-scientific/
CISCO SYSTEMS (ITALY) S.R.L.;https://www.cisco.com/c/it_it/index.html;https://www.cisco.com/c/it_it/about/management-team.html;https://it.wikipedia.org/wiki/Cisco_Systems;https://www.cisco.com/web/IT/eudirective/index.html;https://www.cisco.com/c/it_it/about/contact-cisco.html
NOKIA SOLUTIONS AND NETWORKS ITALIA S.P.A.;https://www.nokia.com/networks/;https://www.ufficiocamerale.it/6446/nokia-solutions-and-networks-italia-spa-in-forma-abbreviata-nsn-italia-spa;https://www.monzatoday.it/economia/isola-formativa-nokia-ragazzi-autistici.html;https://it.wikipedia.org/wiki/Nokia_Networks;https://www.orientamento.unina.it/companyprofile/nokia-solutions-and-networks-italia-spa/
GRUPPO DESA S.P.A.;https://gruppodesa.com;https://cosmopolo.it/2022/03/07/gruppo-desa-azienda-italiana-che-ha-fatto-storia-detergenza/;https://it.linkedin.com/company/desa-group;https://it.linkedin.com/company/gruppo-desa-spa;https://www.desainternazionale.it/it/desa-group
DECATHLON PRODUZIONE ITALIA S.R.L.;https://impegni.decathlon.it/la-produzione-in-decathlon-che-cose;https://www.ufficiocamerale.it/6064/decathlon-produzione-italia-srl;https://it.kompass.com/c/decathlon-produzione-italia-s-r-l/it3327716/;https://it.linkedin.com/company/decathlon-produzione-italia-s.r.l.;https://it.wikipedia.org/wiki/Decathlon_(azienda)
ROCHE DIAGNOSTICS S.P.A. *;https://diagnostics.roche.com/it/it/home.html;https://www.roche.it/chi-siamo/business/diagnostics/;https://www.roche.it/contatti/contatti-roche-diagnostics;https://www.roche.it/cosa-facciamo/diagnostica-le-nostre-soluzioni/;https://www.roche.it
INTERNATIONAL PAPER ITALIA S.R.L.;https://www.internationalpaper.com/it/informazioni-su-international-paper/italia;https://www.internationalpaper.com/it;https://www.internationalpaper.com/en-gb/about-international-paper/italy;https://www.internationalpaper.com/it/informazioni-su-international-paper/international-paper-in-EMEA;https://www.internationalpaper.com/it/contatti
