Company,weighted_score,l_score,w_score,ESG,GENDER EQUALITY,VOLLEYBALL
MECAIR SRL,0.04,0.0,0.15,0.33,0.5,0.67
MEREGALLI GIUSEPPE S.P.A.,0.04,0.0,0.15,0.48,0.36,0.64
ALUTRADE S.R.L.,0.04,0.0,0.15,1.2,0.0,0.4
O.M.E.M. S.P.A. OFFICINE MECCANICHE ERBA-MONZA,0.04,0.0,0.15,0.5,0.0,0.75
MILANOFIORI SVILUPPO S.R.L.,0.04,0.0,0.15,0.68,0.22,0.59
MARS ITALIA S.P.A.,0.04,0.0,0.15,0.0,0.0,1.0
ALLIANCE MEDICAL ITALIA S.R.L.,0.04,0.0,0.15,0.5,0.75,0.5
MODAR S.P.A.,0.04,0.0,0.15,0.6,0.9,0.4
GROUPE SEB ITALIA S.P.A.,0.03,0.0,0.11,0.22,0.0,0.89
CHATEAU D'AX S.P.A.,0.03,0.0,0.11,0.33,0.0,0.83
CGT EDILIZIA S.P.A.,0.03,0.0,0.11,0.86,0.0,0.57
DEMASTEEL S.R.L.,0.03,0.0,0.11,0.0,0.0,1.0
FLAMEGAL CO. SRL,0.03,0.0,0.11,0.0,0.0,1.0
PASTIFICIO CERATI SRL,0.03,0.0,0.11,0.67,0.0,0.67
SCATOLIFICIO ANGELO GARIBOLDI SRL,0.03,0.0,0.11,1.2,0.0,0.4
FULL METALS S.R.L.,0.03,0.0,0.11,0.0,0.0,1.0
NPI ITALIA S.R.L.,0.03,0.0,0.11,0.93,0.0,0.53
CARTA STAMPA S.R.L.,0.03,0.0,0.11,0.67,0.0,0.67
DARTON S.R.L.,0.03,0.0,0.11,0.55,0.0,0.73
SANYANG ITALIA S.R.L.,0.03,0.0,0.11,0.46,0.0,0.77
ANGELO ROCCA & FIGLI S.R.L.,0.03,0.0,0.11,1.2,0.0,0.4
CAREMOLI S.P.A.,0.03,0.0,0.11,2.0,0.0,0.0
BUSCH ITALIA S.R.L.,0.03,0.0,0.11,0.0,0.9,0.7
S.I.D.EM. SPA,0.03,0.0,0.11,0.5,0.0,0.75
S.I.P. SOCIETA' ITALIANA PROTOTIPI S.R.L.,0.03,0.0,0.11,0.67,0.0,0.67
GIOCHI PREZIOSI S.P.A.,0.03,0.0,0.11,0.0,0.0,1.0
FEDERFARMA.CO DISTRIBUZIONE E SERVIZI IN FARMACIA S.P.A.,0.03,0.0,0.11,0.29,0.0,0.86
AE.CAS. SRL,0.03,0.0,0.11,0.25,0.0,0.88
SALMILANO S.P.A.,0.03,0.0,0.11,0.0,0.0,1.0
AL.CI. S.R.L.,0.03,0.0,0.11,1.2,0.0,0.4
C.M.C. ITALIA S.R.L.,0.03,0.0,0.11,0.67,0.0,0.67
GOODYEAR TIRES ITALIA - SOCIETA' PER AZIONI,0.03,0.0,0.11,0.11,0.0,0.94
AEROSPACE MATERIALS MANAGEMENT S.R.L. IN FORMA ABBREVIATA AMM S.R.L.,0.03,0.0,0.11,0.14,0.0,0.93
MOTTA S.R.L.,0.03,0.0,0.11,0.0,0.0,1.0
DELIZIA S.R.L.,0.03,0.0,0.11,0.0,0.0,1.0
FIDIM SRL,0.03,0.0,0.11,1.33,0.0,0.33
FAMOSA ITALIA S.R.L.,0.03,0.0,0.11,0.25,0.0,0.88
XIAOMI TECHNOLOGY ITALY S.R.L.,0.03,0.0,0.11,1.0,0.0,0.5
COLOMBO MICHELE E FIGLI SRL,0.03,0.0,0.11,0.25,0.0,0.88
DICOMI S.R.L.,0.03,0.0,0.11,0.22,0.0,0.89
DOC GENERICI S.R.L. O IN FORMA ABBREVIATA DOC S.R.L.,0.03,0.0,0.11,0.55,0.0,0.73
COMMSCOPE ITALY S.R.L.,0.03,0.0,0.11,0.77,0.2,0.55
DOMETIC ITALY MARINE S.R.L.,0.03,0.0,0.11,0.72,0.36,0.52
DOMPE' FARMACEUTICI - S.P.A.,0.03,0.0,0.11,0.0,0.0,1.0
COMMERCIALE GIUSSANI S.R.L.,0.03,0.0,0.11,0.4,0.0,0.8
PALADINO COSTRUZIONI S.R.L.,0.03,0.0,0.11,0.5,0.0,0.75
EAGLEBURGMANN ITALIA S.R.L.,0.03,0.0,0.11,0.67,0.0,0.67
ECO.SMALT S.R.L.,0.03,0.0,0.11,0.33,0.0,0.83
COMDATA S.P.A.,0.03,0.0,0.11,0.79,0.0,0.61
ECSA ITALIA S.R.L.,0.03,0.0,0.11,0.4,0.0,0.8
EDIL VI.SPA. S.R.L.,0.03,0.0,0.11,0.77,0.0,0.62
EFFEPI AUTO S.R.L.,0.03,0.0,0.11,0.0,0.0,1.0
EL.GA SPA,0.03,0.0,0.11,1.5,0.0,0.25
ELETTRONICA ASTER S.P.A.,0.03,0.0,0.11,0.6,0.0,0.7
GTE SRL,0.03,0.0,0.11,0.67,0.0,0.67
TEMA PROMOTIONAL GIFTS S.R.L.,0.03,0.0,0.11,0.0,0.0,1.0
COGI S.R.L.,0.03,0.0,0.11,0.0,0.0,1.0
ETICA CAPITAL S.R.L.,0.03,0.0,0.11,0.5,0.0,0.75
EURO MOTORS ITALIA SPA EMI,0.03,0.0,0.11,0.67,0.0,0.67
EUROCHEM AGRO S.P.A.,0.03,0.0,0.11,1.2,0.0,0.4
CIVE SRL,0.03,0.0,0.11,0.22,0.0,0.89
O. ELMI SRL,0.03,0.0,0.11,0.67,0.0,0.67
EVOLUTION S.R.L.,0.03,0.0,0.11,0.0,0.0,1.0
TEA-CO TECNOLOGIE ELETTRICHE APPLICATE - CONCOREZZO S.P.A.,0.03,0.0,0.11,0.67,0.0,0.67
PARA' S.P.A.,0.03,0.0,0.11,1.0,0.0,0.5
NUOVA SAMIA SRL,0.03,0.0,0.11,0.0,0.0,1.0
NUOVA ANGELO TURATI S.R.L.,0.03,0.0,0.11,0.25,0.0,0.88
SIMPEC S.R.L. SOCIETA' IMPIANTI ECOLOGICI,0.03,0.0,0.11,0.0,0.0,1.0
FALDUTO F.LLI S.R.L.,0.03,0.0,0.11,0.26,0.0,0.87
MOLTENI & C.- S.P.A.,0.03,0.0,0.11,0.0,0.0,1.0
LOXEAL SRL,0.03,0.0,0.11,0.5,0.0,0.75
ARTECA S.P.A.,0.03,0.0,0.11,0.0,0.0,1.0
KOLOR + SERVICE S.R.L.,0.03,0.0,0.11,0.86,0.0,0.57
AROMATAGROUP S.R.L.,0.03,0.0,0.11,1.5,0.0,0.25
BESANA APPLICAZIONI PLASTICHE SRL,0.03,0.0,0.11,0.29,0.0,0.86
KOS CARE S.R.L.,0.03,0.0,0.11,0.91,0.0,0.55
RIPRESS S.R.L.,0.03,0.0,0.11,0.0,0.0,1.0
RICCHI AUTO S.R.L.,0.03,0.0,0.11,0.0,0.0,1.0
BAVELLONI S.P.A.,0.03,0.0,0.11,0.38,0.0,0.81
R.M.S. S.P.A.,0.03,0.0,0.11,0.82,0.0,0.59
KOCH-GLITSCH ITALIA S.R.L.,0.03,0.0,0.11,0.22,0.0,0.89
A.E.B. APPARECCHIATURE EROGAZIONE BEVANDE S.R.L.,0.03,0.0,0.11,0.0,0.0,1.0
VERNICI CALDART S.R.L.,0.03,0.0,0.11,1.2,0.0,0.4
MAS ELETTRODOMESTICI DA INCASSO - S.R.L.,0.03,0.0,0.11,0.0,0.0,1.0
RETIPIU' SRL,0.03,0.0,0.11,0.55,0.0,0.73
JACQUET NOVA SRL,0.03,0.0,0.11,0.67,0.0,0.67
VICSAM SISTEMI S.R.L.,0.03,0.0,0.11,0.28,0.0,0.86
POLIPLAST SRL,0.03,0.0,0.11,0.0,0.0,1.0
ITALFARMACO S.P.A.,0.03,0.0,0.11,0.96,0.0,0.52
MARIANI FERRO S.P.A.,0.03,0.0,0.11,0.22,0.0,0.89
ITALIAONLINE S.P.A.,0.03,0.0,0.11,0.0,0.0,1.0
ROLLON S.P.A.,0.03,0.0,0.11,0.0,0.0,1.0
MANTOVANI S.R.L.,0.03,0.0,0.11,0.0,0.0,1.0
HD STAR SRL,0.03,0.0,0.11,0.0,0.0,1.0
BOCCOLINI S.R.L.,0.03,0.0,0.11,0.5,0.0,0.75
HERAEUS S.P.A.,0.03,0.0,0.11,0.65,0.0,0.68
HYDAC S.P.A,0.03,0.0,0.11,0.0,0.0,1.0
LIVING DIVANI S.R.L.,0.03,0.0,0.11,0.67,0.0,0.67
MANCINI ENTERPRISE SRL,0.03,0.0,0.11,0.5,0.0,0.75
MINOTTI SPA,0.03,0.0,0.11,0.86,0.0,0.57
O.E.G. OFFICINA ELETTROMECCANICA GOTTIFREDI S.R.L.,0.02,0.0,0.08,0.0,0.0,1.0
KING GESTIONI ALBERGHIERE S.P.A.,0.02,0.0,0.08,1.11,0.0,0.44
DMG MORI ITALIA S.R.L. IN BREVE DMI S.R.L.,0.02,0.0,0.08,0.67,0.0,0.67
EUROMOTORI S.R.L.,0.02,0.0,0.08,0.0,0.0,1.0
ARCELORMITTAL AVELLINO E CANOSSA S.P.A.,0.02,0.0,0.08,0.67,0.0,0.67
ETJCA S.P.A.,0.02,0.0,0.08,0.0,0.0,1.0
EUROPRODOTTI S.P.A.,0.02,0.0,0.08,0.0,0.0,1.0
TECNOGARDEN SERVICE SRL,0.02,0.0,0.08,0.5,0.0,0.75
OBI ITALIA S.R.L.,0.02,0.0,0.08,0.0,0.0,1.0
IVM CHEMICALS S.R.L.,0.02,0.0,0.08,0.0,0.0,1.0
COPRIMA S.R.L.,0.02,0.0,0.08,2.0,0.0,0.0
AUTONOVARA S.R.L.,0.02,0.0,0.08,0.0,0.0,1.0
PARIS TEXAS S.R.L.,0.02,0.0,0.08,0.0,0.77,0.74
COMPRORO S.R.L.,0.02,0.0,0.08,0.0,0.0,1.0
MATEST S.P.A.,0.02,0.0,0.08,0.0,0.0,1.0
EMMI DESSERT ITALIA S.P.A.,0.02,0.0,0.08,2.0,0.0,0.0
"""LINDE MATERIAL HANDLING ITALIA S.P.A.""",0.02,0.0,0.08,0.67,0.0,0.67
COEL DISTRIBUTION SRL,0.02,0.0,0.08,0.5,0.0,0.75
COMESTERO SISTEMI S.R.L.,0.02,0.0,0.08,0.0,0.0,1.0
DP DENT S.R.L.,0.02,0.0,0.08,0.12,0.0,0.94
ECOGENIA S.R.L.,0.02,0.0,0.08,0.93,0.0,0.53
TECNOROBOT S.R.L.,0.02,0.0,0.08,1.2,0.0,0.4
QUANTUMCORRUGATED S.R.L.,0.02,0.0,0.08,1.5,0.0,0.25
QUATTROBI S.R.L.,0.02,0.0,0.08,0.0,0.0,1.0
TEKNOWOOL LOMBARDIA S.R.L.,0.02,0.0,0.08,0.5,0.0,0.75
COMBUSTIBILI CEREDA S.R.L.,0.02,0.0,0.08,0.0,0.0,1.0
SIPCAM OXON S.P.A.,0.02,0.0,0.08,0.72,0.0,0.64
EG S.P.A.,0.02,0.0,0.08,0.99,0.23,0.43
"PROGETTO A. SOCIETA' COOPERATIVA SOCIALE VALIDAMENTE SIGLABILE ANCHE
COME PROGETTO A. S.C.S.",0.02,0.0,0.08,0.18,0.0,0.91
ELMAG S.P.A.,0.02,0.0,0.08,0.0,0.0,1.0
RALCO S.R.L.,0.02,0.0,0.08,0.0,0.0,1.0
KOFLER SRL,0.02,0.0,0.08,0.0,0.0,1.0
AMBIENTE ENERGIA BRIANZA SOCIETA' PER AZIONI,0.02,0.0,0.08,0.69,0.0,0.65
ALIMENTARI RADICE S.R.L.,0.02,0.0,0.08,0.0,0.0,1.0
A.C.E. SRL,0.02,0.0,0.08,0.0,0.0,1.0
STELLA SRL,0.02,0.0,0.08,0.0,0.0,1.0
WORKMEC S.P.A.,0.02,0.0,0.08,0.0,0.0,1.0
IMPRESA EDILE STRADALE ARTIFONI S.P.A.,0.02,0.0,0.08,0.17,0.0,0.92
SAN.ECO.VIT. S.R.L.,0.02,0.0,0.08,0.86,0.0,0.57
NOVA S.R.L.,0.02,0.0,0.08,0.0,0.0,1.0
NORD COMPENSATI S.R.L.,0.02,0.0,0.08,2.0,0.0,0.0
MESSA T. S.P.A.,0.02,0.0,0.08,0.0,0.0,1.0
CAMBIELLI S.P.A.,0.02,0.0,0.08,2.0,0.0,0.0
RIVOLTA CARMIGNANI S.P.A.,0.02,0.0,0.08,0.0,0.0,1.0
YARA ITALIA S.P.A.,0.02,0.0,0.08,1.1,0.0,0.45
DIAMETRO SRL,0.02,0.0,0.08,0.0,0.0,1.0
PEPPERL + FUCHS FA ITALIA S.R.L.,0.02,0.0,0.08,0.77,0.0,0.62
"CIERREFFE LOMBARDIA S.R.L. SIGLABILE C.R.F. LOMBARDIA S.R.L. O CRF LOMBARDIA
S.R.L.",0.02,0.0,0.08,0.67,0.0,0.67
VARIATI S.P.A.,0.02,0.0,0.08,0.6,0.0,0.7
SAFETY S.P.A.,0.02,0.0,0.08,0.67,0.0,0.67
HUMANGEST S.P.A.,0.02,0.0,0.08,0.0,0.0,1.0
AGRI BRIANZA S.R.L.,0.02,0.0,0.08,0.0,0.0,1.0
BISCOTTI GULLON S.R.L.,0.02,0.0,0.08,0.67,0.0,0.67
A.M.INSTRUMENTS SRL,0.02,0.0,0.08,0.86,0.0,0.57
S.I.M.B.A.-S.P.A. COL SOTTOTITOLO SOCIETA' ITALIANA IMPORTAZIONE BANANE E COMMERCIO PRODOTTI OLTREMARE,0.02,0.0,0.08,0.2,0.0,0.9
UPONOR S.R.L.,0.02,0.0,0.08,0.0,0.0,1.0
DAYTONA S.R.L.,0.02,0.0,0.08,0.0,0.0,1.0
G.P. CAR S.R.L.,0.02,0.0,0.08,0.0,0.0,1.0
G.M. INTERNATIONAL S.R.L.,0.02,0.0,0.08,0.0,0.0,1.0
MERBAG S.P.A.,0.02,0.0,0.08,0.0,0.0,1.0
MEDA PHARMA S.P.A.,0.02,0.0,0.08,0.5,0.0,0.75
FABAS-LUCE SPA,0.02,0.0,0.08,0.0,0.0,1.0
IPER MONTEBELLO S.P.A.,0.02,0.0,0.08,0.5,0.0,0.75
CSEL CONSORZIO - SOCIETA' COOPERATIVA SOCIALE,0.02,0.0,0.08,0.5,0.0,0.75
BOLDROCCHI SRL,0.02,0.0,0.08,1.2,0.0,0.4
B&B ITALIA S.P.A.,0.02,0.0,0.08,1.0,0.0,0.5
CHATEAUFORM ITALIA S.R.L.,0.02,0.0,0.08,2.0,0.0,0.0
THE LEVEL GROUP S.R.L.,0.02,0.0,0.08,0.0,0.0,1.0
FINELEX SOCIETA' CONSORTILE PER AZIONI,0.02,0.0,0.08,0.5,0.0,0.75
MECONDOR- S.P.A.,0.02,0.0,0.08,0.0,0.0,1.0
FLOU SPA,0.02,0.0,0.08,2.0,0.0,0.0
FM COMPANY S.R.L.,0.02,0.0,0.08,0.0,0.0,1.0
TITALIA S.P.A.,0.02,0.0,0.08,0.0,0.0,1.0
FOMAS S.P.A.,0.02,0.0,0.08,0.44,0.0,0.78
CENTRO CALOR S.R.L.,0.02,0.0,0.08,0.0,0.0,1.0
FPZ S.P.A.,0.02,0.0,0.08,0.0,0.0,1.0
BARRA COSTRUZIONI S.R.L.,0.02,0.0,0.08,0.21,0.46,0.74
CAVAUTO S.R.L.,0.02,0.0,0.08,0.0,0.0,1.0
START ITALIANA S.R.L.,0.02,0.0,0.08,0.0,0.0,1.0
COOP LOMBARDIA SOCIETA' COOPERATIVA,0.01,0.0,0.04,0.07,0.51,0.79
CONDUCTIX- WAMPFLER S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
CORDEN PHARMA S.P.A.,0.01,0.0,0.04,0.0,0.0,1.0
COOP CONSORZIO NORD OVEST SOC. CONSORTILE A R.L.,0.01,0.0,0.04,0.29,0.44,0.71
T.S.A. S.R.L.,0.01,0.0,0.04,2.0,0.0,0.0
TRAGNI S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
ABC SISTEM S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
BAXTER S.R.L.,0.01,0.0,0.04,2.0,0.0,0.0
WERKCAM S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
ARZUFFI S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
ASTALEGALE.NET S.P.A.,0.01,0.0,0.04,0.0,0.0,1.0
AUTOGHINZANI BERGAMO SRL,0.01,0.0,0.04,0.0,0.0,1.0
VINAVIL SPA,0.01,0.0,0.04,0.46,0.0,0.77
VIMERCATI SRL,0.01,0.0,0.04,0.0,0.0,1.0
B.S.M. SRL,0.01,0.0,0.04,0.0,0.0,1.0
VECO S.P.A.,0.01,0.0,0.04,0.0,0.0,1.0
CIPIEMME SRL,0.01,0.0,0.04,0.0,0.0,1.0
COVI S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
ALBRICCI S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
AHSI S.P.A.,0.01,0.0,0.04,0.0,0.0,1.0
UNES MAXI S.P.A.,0.01,0.0,0.04,0.06,0.5,0.8
CALVI HOLDING S.P.A.,0.01,0.0,0.04,0.0,0.0,1.0
ACINQUE S.P.A.,0.01,0.0,0.04,0.42,0.35,0.67
CESAPLAST SPA,0.01,0.0,0.04,0.0,0.0,1.0
BRIANZATENDE S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
EXYTE ITALY S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
SYSTEMA S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
S.I.L.F.A. SOCIETA' IMBALLAGGI LATTA FUSTI ACCIAIO - S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
REYS S.P.A,0.01,0.0,0.04,0.0,0.0,1.0
RISTOPIU' LOMBARDIA SPA,0.01,0.0,0.04,0.0,0.0,1.0
ICROM S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
I.R.A. ISTITUTO RICERCHE APPLICATE S.P.A.,0.01,0.0,0.04,0.0,0.0,1.0
HOME FRAGRANCE ITALIA S.R.L.,0.01,0.0,0.04,0.5,0.0,0.75
HAFELE ITALIA S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
GRUPPO MILLEPIANI S.P.A.,0.01,0.0,0.04,0.0,0.0,1.0
SACMA LIMBIATE S.P.A.,0.01,0.0,0.04,1.2,0.0,0.4
RENTAL PLUS SRL,0.01,0.0,0.04,0.0,0.0,1.0
SACS TECNORIB S.P.A.,0.01,0.0,0.04,0.0,0.0,1.0
SAIVER S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
GITRE S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
G2 PORTE E FINESTRE S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
G. VILLA S.R.L.,0.01,0.0,0.04,0.67,0.0,0.67
FURIA CUSCINI S.P.A.,0.01,0.0,0.04,0.0,0.0,1.0
FRIESLANDCAMPINA ITALY S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
INTERNI S.P.A.,0.01,0.0,0.04,1.2,0.0,0.4
REMARKET S.P.A.,0.01,0.0,0.04,0.2,0.0,0.9
SERVOTECNICA S.P.A.,0.01,0.0,0.04,0.0,0.0,1.0
PEPPERL + FUCHS S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
OR.S.A. SOCIETA' COOPERATIVA SOCIALE,0.01,0.0,0.04,0.0,0.0,1.0
OPTOPRIM S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
OMG S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
PAOLA LENTI S.R.L.,0.01,0.0,0.04,2.0,0.0,0.0
PASSONI PAOLO E FIGLI S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
NASTROFER S.P.A.,0.01,0.0,0.04,0.29,0.0,0.86
MURRELEKTRONIK SRL,0.01,0.0,0.04,2.0,0.0,0.0
MOONS' INDUSTRIES EUROPE HEAD QUARTER SRL,0.01,0.0,0.04,0.0,0.0,1.0
REDMOTO S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
MONTRASIO ITALIA S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
POWER LINE S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
MACPLAST S.P.A.,0.01,0.0,0.04,0.0,0.0,1.0
LARA COMPENSATI S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
LA MERIDIANA SOCIETA' COOPERATIVA SOCIALE,0.01,0.0,0.04,0.0,0.0,1.0
KOLLMORGEN S.R.L.,0.01,0.0,0.04,0.26,0.0,0.87
KINGMEDA S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
FORGE NICROMO S.P.A.,0.01,0.0,0.04,0.0,0.0,1.0
GRUPPO ALFAGOMMA (1),0.01,0.0,0.04,0.0,0.0,1.0
EMME TECHNOLOGY S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
SUISSE NUTRAINGREDIENTS S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
DELTA 2000 S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
EPIS & C. S.R.L.,0.01,0.0,0.04,0.4,0.0,0.8
F.LLI NOVARA S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
DIOTTI.COM S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
FARMA.CO.M. S.P.A. FARMACIE COMUNALI MONZA S.P.A.,0.01,0.0,0.04,0.0,0.0,1.0
EUROPERF S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
DOLCIARIA NEGRI SRL,0.01,0.0,0.04,0.33,0.0,0.83
EMIFLEX S.P.A.,0.01,0.0,0.04,0.0,0.0,1.0
DONATI S.R.L.,0.01,0.0,0.04,1.64,0.0,0.18
DP VISION S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
DUERR DENTAL ITALIA S.R.L.,0.01,0.0,0.04,0.0,0.0,1.0
EXHIBO S.P.A.,0.01,0.0,0.04,0.0,0.0,1.0
MAGIC M.P. - S.P.A.,0.0,0.0,0.0,,,
AMBROGIO MORO S.P.A. **,0.0,0.0,0.0,,,
LOUIS VUITTON ITALIA S.R.L.,0.0,0.0,0.0,,,
LONGHI S.P.A.,0.0,0.0,0.0,0.0,0.0,1.0
FINE FOOD GROUP S.P.A.,0.0,0.0,0.0,,,
APTACA S.P.A.,0.0,0.0,0.0,,,
TECNOFIRMA SPA,0.0,0.0,0.0,,,
DIMAC RED S.P.A.,0.0,0.0,0.0,0.0,0.0,1.0
KSA ITALIA SRL,0.0,0.0,0.0,,,
R. & C. TERMOIDRAULICA S.R.L.,0.0,0.0,0.0,,,
TECNOLAB S.R.L.,0.0,0.0,0.0,,,
KCS CAREGIVER COOPERATIVA SOCIALE,0.0,0.0,0.0,,,
REFECTIO S.R.L.,0.0,0.0,0.0,,,
SPRINT ENERGY SRL,0.0,0.0,0.0,,,
MONGUZZI S.R.L.,0.0,0.0,0.0,0.0,0.0,1.0
MARTE SPA,0.0,0.0,0.0,,,
MERIDIANI S.R.L.,0.0,0.0,0.0,,,
CORIGES SRL,0.0,0.0,0.0,,,
CRI ENERBILITY S.R.L.,0.0,0.0,0.0,,,
OPIS S.R.L. (1) *,0.0,0.0,0.0,,,
OMP MECHTRON S.R.L.,0.0,0.0,0.0,,,
CROSS POINT - S.R.L.,0.0,0.0,0.0,,,
ABB E-MOBILITY S.P.A.,0.0,0.0,0.0,,,
NTI-NKE S.P.A.,0.0,0.0,0.0,,,
DANA FLUID POWER DISTRIBUTION S.R.L.,0.0,0.0,0.0,,,
ADITINET CONSULTING SPA,0.0,0.0,0.0,0.0,0.0,1.0
DANCO S.P.A.,0.0,0.0,0.0,,,
DELP ITALIA SRL,0.0,0.0,0.0,,,
AGORA' NETWORK SOCIETA' CONSORTILE A R.L.,0.0,0.0,0.0,,,
PERI S.R.L.,0.0,0.0,0.0,0.0,0.0,1.0
DI.R.EL. SRL,0.0,0.0,0.0,,,
TEAFLEX S.P.A.,0.0,0.0,0.0,0.0,0.0,1.0
IPEA S.R.L.,0.0,0.0,0.0,,,
MODITECH S.R.L.,0.0,0.0,0.0,,,
AVICEL S.R.L.,0.0,0.0,0.0,,,
ECO STORE SRL,0.0,0.0,0.0,0.0,0.0,1.0
INTERSTEEL SRL,0.0,0.0,0.0,,,
COSMO HOTEL S.P.A.,0.0,0.0,0.0,,,
BRUNO PRESEZZI S.P.A.,0.0,0.0,0.0,,,
GRICAR CHEMICAL S.R.L.,0.0,0.0,0.0,0.0,0.0,1.0
TERNO SCORREVOLI S.P.A.,0.0,0.0,0.0,,,
CAL S.R.L.,0.0,0.0,0.0,,,
GIORGIO COLLECTION S.R.L.,0.0,0.0,0.0,,,
CANALPLAST S.P.A.,0.0,0.0,0.0,,,
CAR STUDIO S.R.L.,0.0,0.0,0.0,,,
GAIA S.R.L.,0.0,0.0,0.0,,,
F.LLI VILLA S.R.L.,0.0,0.0,0.0,,,
CASELLA SPA,0.0,0.0,0.0,0.0,0.0,1.0
CAUVIN METALS S.R.L.,0.0,0.0,0.0,,,
SHELL ENERGY ITALIA S.R.L.,0.0,0.0,0.0,,,
FRASCOLLA S.R.L.,0.0,0.0,0.0,,,
SG S.P.A.,0.0,0.0,0.0,,,
CENTRO CARAVANS BARASSI S.R.L.,0.0,0.0,0.0,,,
SELI MANUTENZIONI GENERALI S.R.L.,0.0,0.0,0.0,,,
CERAMICHE FRATTINI SRL,0.0,0.0,0.0,,,
BRIVIO & VIGANO' LOGISTICS S.R.L.,0.0,0.0,0.0,,,
TERMOMARKET S.R.L.,0.0,0.0,0.0,,,
AZ PNEUMATICA SRL,0.0,0.0,0.0,,,
COENERGIA S.R.L.,0.0,0.0,0.0,0.0,0.0,1.0
VERZOLLA S.R.L.,0.0,0.0,0.0,,,
FILO BIANCO S.R.L.,0.0,0.0,0.0,,,
RESTAURA S.R.L.,0.0,0.0,0.0,,,
INOXIHP S.R.L.,0.0,0.0,0.0,,,
ECOLAB HOLDING ITALY S.R.L.,0.0,0.0,0.0,,,
INDUSTRIA BRIANTEA FERRAMENTA MINUTERIE DI FUMAGALLI SRL,0.0,0.0,0.0,,,
IMS S.P.A.,0.0,0.0,0.0,,,
EDILVIT SRL,0.0,0.0,0.0,,,
IMPRESA EDILE MARIANI S.R.L.,0.0,0.0,0.0,,,
EFFEBIQUATTRO S.P.A.,0.0,0.0,0.0,,,
ELCAM -S.R.L.,0.0,0.0,0.0,,,
I.M.V. PRESSE S.R.L.,0.0,0.0,0.0,,,
VANTA S.R.L.,0.0,0.0,0.0,,,
HOSES TECHNOLOGY S.P.A.,0.0,0.0,0.0,,,
VALLMAR S.R.L.,0.0,0.0,0.0,,,
HILTI ITALIA S.P.A.,0.0,0.0,0.0,,,
H.T. HIGH TECHNOLOGY S.R.L.,0.0,0.0,0.0,0.0,0.0,1.0
I.P.A.S. INDUSTRIA PRODUZIONI ALIMENTARI E SEMILAVORATI S.R.L.,0.0,0.0,0.0,0.0,0.0,1.0
