Word,Count
diversity,31
sport,200
paralympic,2
gender equality,2
partita,7
parità,16
athlete,3
energetica,109
donne,79
championship,9
atleta,0
inclusione,21
game,38
feminism,0
pallavolo,0
campionato,4
paraolimpiadi,0
women,82
gender,25
inclusion,52
esg,37
carbon,114
comunità,52
women's rights,0
renewable,40
olympic,8
volleyball,0
parità di genere,10
ethic,8
equality,5
Sustainability,0
social,103
olimpiadi,4
beach volley,0
sostenibilità,145
allenatore,2
coach,33
green,91
CSR,0
