31;INTERNATIONAL PAPER ITALIA S.R.L.;390.576.726;2,98;;Bellusco;O;Carta e stampati;;Carlo Bevini;;;Laura Galliani;Maddalena Sala;;;;
32;IMR-INDUSTRIALESUD S.P.A.;377.732.148;5,21;;Carate Brianza;C;Gomma-plastica;;Andrea Galmarini;;Matteo Galmarini;Emilio Porro Lodi;Diego Bava;;;;
33;KASANOVA S.P.A.;371.093.110;-3,67;;Arcore;O;Commercio all'ingrosso;;Maurizio Ghidelli;Angelo Meregalli;Andrea Sala;Francesca Cagliani;Enrico Casiraghi;;;;
34;GELSIA S.R.L.;352.261.000;4,36;;Seregno;O;Utilities;;Renato Pennacchia;Elena Palazzo;Giovanna Terrragni;;;;;;
35;ROVAGNATI SPA;346.849.000;0,45;;Biassono;C;Alimentari e bevande;;Gabriele Rusconi;Gian Luca De Carli;Marco Ortolani;Stefano Brigato;Fabrizio Bordiga;;;;
36;GIOCHI PREZIOSI S.P.A.;342.616.000;-41,57;;Cogliate;C-IAS;Commercio all'ingrosso;;Enrico Preziosi;Andrea Bianchi;Marco Lischetti;Stefano Veronesi;;;;;
37;RITRAMA S.P.A.;337.569.830;7,67;;Caponago;O;Carta e stampati;;;;;;;;;;
38;GALFIN S.R.L.;330.881.075;7,64;;Usmate Velate;C;Attività professionali;;;;;;;;;;
39;PHILIPS S.P.A.;314.614.297;12,23;;Monza;O;Elettronica;;;;;;;;;;
40;MOLTENI & C.- S.P.A.;305.887.692;17,30;;Giussano;O;Legno e arredo;;Marco Piscitelli;Giulia Molteni;Federico Mondelli;Gabriele Floreani;;;;;
41;ARCO SPEDIZIONI S.P.A.;303.247.847;20,53;;Monza;O;Trasporti e logistica;;;;;;;;;;
42;LOMBARDA MOTORI S.P.A.;301.047.659;19,22;;Monza;O;Commercio al dettaglio;;Elisa Zannier;Francesca Acquati;Antonio Pappalardo;;;;;;
43;EI TOWERS S.P.A.;297.968.000;3,73;;Lissone;C-IAS;Elettronica;;Guido Barbieri;Roberto Ripamonti;Fabio Caccia;Rossella Agostoni;Ennio Vernengo;;;;
44;SCHINDLER - SOCIETA' PER AZIONI;289.909.586;7,26;;Concorezzo;C;Macchinari;;Danilo Calabrò;Mauro Maioli;;Arianna Squizzato;;;;;
45;METAL WORK HOLDING S.P.A.;260.411.329;11,71;;Arcore;C;Attività professionali;;Daniele Marconi;Francesca Sessi;;Enrico Scacchi;;;;;
46;TODINI AND CO. SPA;259.838.834;65,95;;Monza;O;Commercio all'ingrosso;;Christophe Murez;;Andrea Frattini;;;;;;
47;FORMENTI & GIOVENZANA S.P.A. (1);254.881.127;7,70;;Veduggio con Colzano;C;Legno e arredo;;Uwe Kreidel;;Giulia Luigetti;;Silvana Riboldi;;;;
48;STAR S.P.A.;252.385.912;4,52;;Agrate Brianza;C;Alimentari e bevande;;Antonio Mariani;;;;;;;;
49;HYDRO EXTRUSION ITALY S.R.L.;243.885.452;35,91;;Ornago;O;Metallurgia;;Luca Bertola;Stefano Spinelli;Marco Castelletti;Maria La Bella;Carlo Sartucci;;;;
50;KELLOGG ITALIA SPA;241.292.301;21,44;;Vimercate;O;Alimentari e bevande;;Giuseppe Riccardi;Silvia Patelli;Vincenzo D'Agostino Fiorenza ;Monica Fiersi ;;;;;
51;B. & V. HOLDING S.P.A.;234.537.296;9,67;;Usmate Velate;C;Trasporti e logistica;;;;;;;;;;
52;BETA UTENSILI S.P.A.;228.801.000;7,20;;Sovico;C;Prodotti in metallo;;Roberto Ciceri;Paolo Innecco ;Marco Menesello;Maurizio Riboldi;Alessandro Ciceri;;;;
53;MINOTTI SPA;226.667.445;26,72;;Meda;O;Legno e arredo;;Renato e Roberto Minotti;Roberto Paiano;Ferdinando Luigi Mariani;Riccardo Formenti;Paolo Nardini;;;;
54;ALFA LAVAL ITALY S.R.L.;213.566.000;20,43;;Monza;O;Commercio all'ingrosso;;Alessandro Terenghi;Alessandra Buffelli;Giuseppe Fiore;Barbara Gioannini;Andrea Brusetti;;;;
55;CO.GE.FIN. S.P.A.;205.571.790;13,22;;Bellusco;C;Metallurgia;;;;;;;;;;
56;EMERSON PROCESS MANAGEMENT S.R.L.;203.719.030;15,54;;Seregno;O;Commercio all'ingrosso;;Roberto Musatti;;;Stefania Zucchelli;Attilio Lepore;;;;
57;GRUPPO GIMOKA S.P.A.;189.794.090;-21,27;;Caponago;O;Alimentari e bevande;;Davide Padelli;Stefano Urso;Nicola Santoro;Laura Vitali;Roberto Vanzini;;;;
58;CANALI HOLDING SOCIETA' PER AZIONI;188.429.287;3,04;;Triuggio;C;Sistema moda;;Stefano Canali;Simona Terraneo;Marco Mariani;Andrea Bensi;;;;;
59;FRESH TROPICAL SRL BY JAWAD;188.285.759;31,02;;Seveso;O;Commercio all'ingrosso;;Jawad Sarwar Cheema;;Shahzad Sarwar Cheema;;;;;;
60;KOFLER SRL;187.331.597;0,84;;Brugherio;O;Metallurgia;;Stefano Kofler;;;;;;;;
61;CLEAF SPA;183.063.507;18,74;;Macherio;O;Legno e arredo;;Luciano Caspani;;Paola Mazzoletti;Sara Sammito;;;;;
62;SIR INDUSTRIALE S.P.A.;182.097.590;26,52;;Macherio;O;Chimica e affini;;Francesco Pizzocaro;;;Marilena Ferioli;;;;;
63;ALFA LAVAL SPA;181.130.305;n.d.;;Monza;O;Macchinari;;;;;;;;;
64;KCS CAREGIVER COOPERATIVA SOCIALE;180.991.195;-2,17;;Agrate Brianza;C;Sanità;;Roberto Stucchi;;Fabrizio di Francia;;;;;;
65;BRUGOLA COMMERCIALE SPA;178.859.000;-5,01;;Lissone;C;Prodotti in metallo;;Jody Brugola;;Alessandro Galbarini;Luca Colombo;;;;;
66;STANLEY BLACK & DECKER ITALIA S.R.L.;178.040.900;13,23;;Vimercate;O;Commercio all'ingrosso;;Vito Galantino;Marco Gatti;;Simona Carnabuci;Giovanni Gheno;;;;
67;SYNLAB ITALIA S.R.L.;175.561.974;55,46;;Monza;O;Sanità;;Andrea Buratti;;Gianluca Capuano;Barbara Ferrarini;;;;;
68;ELETTRONICA INDUSTRIALE SPA;174.925.418;-1,08;;Lissone;O;Attività informatiche;;;;;;;;;;
69;HSG S.R.L.;172.636.384;0,96;;Nova Milanese;C;Alberghi e ristorazione;;;;;;;;;;
70;SMC ITALIA SPA;169.117.566;10,00;;Brugherio;O;Commercio all'ingrosso;;;Andrea Trifone;Antonio Longo;Alessandro Contini;Stefano Rossi;;;;
71;MULTITEL PAGLIERO S.P.A.;165.716.481;41,26;;Brugherio;C;Automotive;;Renzo Pagliero;Roberto Marangoni;;Angela Gennarino;;;;;
